Prefix,URI
sec,https://w3id.org/security#
ps,https://w3id.org/payswarm#
navm,https://w3id.org/navigation_menu#
lfov,https://w3id.org/legal_form#
curr,https://w3id.org/cc#
namespaces,https://vg.no/
bib,http://zeitkunst.org/bibtex/0.1/bibtex.owl#
zbwext,http://zbw.eu/namespaces/zbw-extensions/
p20,http://zbw.eu/beta/p20/vocab/
yago,http://yago-knowledge.org/resource/
erce,http://xxefe.de/
aair,http://xmlns.notu.be/aair#
wot,http://xmlns.com/wot/0.1/
wn,http://xmlns.com/wordnet/1.6/
foaf,http://xmlns.com/foaf/0.1/
aerols,http://xmlns.com/aerols/0.1/
saif,http://wwwiti.cs.uni-magdeburg.de/~srahman/
sider,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/
factbook,http://www4.wiwiss.fu-berlin.de/factbook/ns#
drugbank,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/
diseasome,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/
dailymed,http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/
cordis,http://www4.wiwiss.fu-berlin.de/cordis/resource/cordis/
r2r,http://www4.wiwiss.fu-berlin.de/bizer/r2r/
bsbm,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/
xbrli,http://www.xbrl.org/2003/instance#
wl,http://www.wsmo.org/ns/wsmo-lite#
wsl,http://www.wsmo.org/ns/wsmo-lite#
d2rq,http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#
wd,http://www.wikidata.org/entity/
wikidata,http://www.wikidata.org/entity/
who,http://www.who.int/vocab/ontology#
xml,http://www.w3.org/XML/1998/namespace/
sgv,http://www.w3.org/TR/SVG/
owltime,http://www.w3.org/TR/owl-time#
vin,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#
fowl,http://www.w3.org/TR/2003/PR-owl-guide-20031209/food#
tblcard,http://www.w3.org/People/Berners-Lee/card#
ui,http://www.w3.org/ns/ui#
sd,http://www.w3.org/ns/sparql-service-description#
sawsdl,http://www.w3.org/ns/sawsdl#
rov,http://www.w3.org/ns/regorg#
rdfa,http://www.w3.org/ns/rdfa#
radion,http://www.w3.org/ns/radion#
rad,http://www.w3.org/ns/rad#
r2rml,http://www.w3.org/ns/r2rml#
rr,http://www.w3.org/ns/r2rml#
prov,http://www.w3.org/ns/prov#
person,http://www.w3.org/ns/person#
gldp,http://www.w3.org/ns/people#
org,http://www.w3.org/ns/org#
oax,http://www.w3.org/ns/openannotation/extensions/
odrl,http://www.w3.org/ns/odrl/2/
oa,http://www.w3.org/ns/oa#
md,http://www.w3.org/ns/md#
ma,http://www.w3.org/ns/ma-ont#
locn,http://www.w3.org/ns/locn#
ldp,http://www.w3.org/ns/ldp#
hydra,http://www.w3.org/ns/hydra/core#
formats,http://www.w3.org/ns/formats/
earl,http://www.w3.org/ns/earl#
dcat,http://www.w3.org/ns/dcat#
rsa,http://www.w3.org/ns/auth/rsa#
cert,http://www.w3.org/ns/auth/cert#
acl,http://www.w3.org/ns/auth/acl#
adms,http://www.w3.org/ns/adms#
shex,http://www.w3.org/2013/ShEx/ns#
htir,http://www.w3.org/2011/http#
w3http,http://www.w3.org/2011/http#
httpm,http://www.w3.org/2011/http-methods#
cnt,http://www.w3.org/2011/content#
ptr,http://www.w3.org/2009/pointers#
ttl,http://www.w3.org/2008/turtle#
skos08,http://www.w3.org/2008/05/skos#
skosxl,http://www.w3.org/2008/05/skos-xl#
web,http://www.w3.org/2007/uwa/context/web.owl#
soft,http://www.w3.org/2007/uwa/context/software.owl#
push,http://www.w3.org/2007/uwa/context/push.owl#
net,http://www.w3.org/2007/uwa/context/network.owl#
loc,http://www.w3.org/2007/uwa/context/location.owl#
java,http://www.w3.org/2007/uwa/context/java.owl#
hard,http://www.w3.org/2007/uwa/context/hardware.owl#
